1,x1,x1^2,x1^3,x1^4,x1^5,x1^6,x1^7,x1^8,x1^9,x1^10,y
1.0,0.0014285714285714286,2.040816326530612e-06,2.9154518950437316e-09,4.164931278633902e-12,5.94990182661986e-15,8.499859752314086e-18,1.2142656789020123e-20,1.7346652555743034e-23,2.4780932222490048e-26,3.5401331746414354e-29,-0.05806151071428571
1.0,0.007142857142857143,5.10204081632653e-05,3.6443148688046643e-07,2.6030820491461886e-09,1.859344320818706e-11,1.3281030862990757e-13,9.486450616421968e-16,6.77603615458712e-18,4.8400258247050854e-20,3.457161303360775e-22,0.4815016689285714
1.0,0.018571428571428572,0.0003448979591836735,6.405247813411079e-06,1.189546022490629e-07,2.209156898911168e-09,4.102719955120741e-11,7.619337059509948e-13,1.415019739623276e-14,2.627893802157513e-16,4.88037420400681e-18,0.2844870432142857
1.0,0.02,0.0004,8.000000000000001e-06,1.6000000000000003e-07,3.2000000000000005e-09,6.400000000000001e-11,1.2800000000000002e-12,2.5600000000000006e-14,5.120000000000001e-16,1.0240000000000003e-17,0.6891261425
1.0,0.02142857142857143,0.0004591836734693878,9.839650145772595e-06,2.1084964598084133e-07,4.518206699589457e-09,9.681871499120265e-11,2.0746867498114853e-12,4.445757321024611e-14,9.526622830767025e-16,2.041419178021505e-17,1.122109284285714
1.0,0.027142857142857142,0.000736734693877551,1.9997084548104956e-05,5.427780091628488e-07,1.4732545962991611e-08,3.99883390424058e-10,1.0853977740081573e-11,2.9460796723078555e-13,7.99650196769275e-15,2.1704791055166034e-16,0.6181228714285714
1.0,0.032857142857142856,0.0010795918367346939,3.547230320699708e-05,1.1655185339441898e-06,3.829560897245195e-08,1.2582842948091354e-09,4.134362682944302e-11,1.3584334529674134e-12,4.463424202607215e-14,1.466553666570942e-15,1.7523946785714286
1.0,0.03428571428571429,0.0011755102040816327,4.030320699708455e-05,1.3818242399000417e-06,4.737683108228715e-08,1.6243484942498453e-09,5.569194837428041e-11,1.9094382299753284e-12,6.546645359915412e-14,2.24456412339957e-15,1.576523880357143
1.0,0.041428571428571426,0.0017163265306122447,7.110495626822157e-05,2.945776759683465e-06,1.2203932290117212e-07,5.0559148059057015e-09,2.094593276732362e-10,8.677600717891213e-12,3.5950060116977876e-13,1.4893596334176546e-14,1.5479894817857143
1.0,0.047142857142857146,0.002222448979591837,0.0001047725947521866,4.939279466888798e-06,2.328517462961862e-07,1.0977296611105922e-08,5.175011259521363e-10,2.4396481652029285e-11,1.1501198493099521e-12,5.421993575318346e-14,1.4787376639285714
1.0,0.05142857142857143,0.0026448979591836732,0.00013602332361516034,6.99548521449396e-06,3.597678110311179e-07,1.8502344567314636e-08,9.515491491761813e-10,4.8936813386203607e-11,2.5167504027190424e-12,1.2943287785412218e-13,2.309740051785714
1.0,0.05285714285714286,0.0027938775510204083,0.00014767638483965015,7.805751770095794e-06,4.1258973641934914e-07,2.1808314639308457e-08,1.152725202363447e-09,6.092976069635363e-11,3.220573065378692e-12,1.7023029059858802e-13,1.9494768410714287
1.0,0.055714285714285716,0.0031040816326530613,0.00017294169096209914,9.635322782174095e-06,5.368251264354139e-07,2.99088284728302e-08,1.6663490149148254e-09,9.283944511668314e-11,5.1724833707866325e-12,2.881812163723981e-13,2.0251517821428573
1.0,0.05714285714285714,0.0032653061224489793,0.0001865889212827988,1.0662224073302789e-05,6.092699470458736e-07,3.481542554547849e-08,1.9894528883130564e-09,1.136830221893175e-10,6.496172696532428e-12,3.712098683732816e-13,1.9388087864285712
1.0,0.06142857142857143,0.003773469387755102,0.000231798833819242,1.4239071220324865e-05,8.746858035342417e-07,5.373069935996056e-08,3.3006001035404343e-09,2.0275114921748383e-10,1.245471345193115e-11,7.650752549043421e-13,2.4431799342857143
1.0,0.08142857142857143,0.00663061224489796,0.0005399212827988339,4.3965018742190766e-05,3.5800086690069626e-06,2.915149916191384e-07,2.3737649317558414e-08,1.932922873001185e-09,1.573951482300965e-10,1.2816462070165001e-11,2.2414509867857144
1.0,0.08714285714285715,0.007593877551020409,0.0006617521865889213,5.766697625989172e-05,5.025265074076279e-06,4.3791595645521863e-07,3.816124763395477e-08,3.3254801509589158e-09,2.8979184172641984e-10,2.5253289064730872e-11,2.8145047539285715
1.0,0.09285714285714286,0.008622448979591838,0.000800655976676385,7.434662640566433e-05,6.903615309097402e-06,6.410499929876159e-07,5.952607077742148e-08,5.5274208579034235e-09,5.132605082338893e-10,4.7659904336004005e-11,3.0306444935714287
1.0,0.09857142857142857,0.009716326530612246,0.0009577521865889214,9.44070012494794e-05,9.305832980305827e-06,9.1728925091586e-07,9.041851187599192e-08,8.912681884919203e-09,8.785357857991787e-10,8.659852745734762e-11,3.2484046357142855
1.0,0.11285714285714285,0.012736734693877549,0.0014374314868804661,0.00016222441066222402,1.8308183489022423e-05,2.0662092794753876e-06,2.3318647582650803e-07,2.6316759414705904e-08,2.9700342768025234e-09,3.351895826677133e-10,3.9381633360714283
1.0,0.11428571428571428,0.013061224489795917,0.0014927113702623905,0.00017059558517284462,1.9496638305467955e-05,2.2281872349106233e-06,2.546499697040712e-07,2.910285368046528e-08,3.3260404206246033e-09,3.8011890521424036e-10,3.6506882803571425
1.0,0.12,0.0144,0.001728,0.00020736,2.48832e-05,2.985984e-06,3.5831807999999997e-07,4.2998169599999993e-08,5.159780351999999e-09,6.191736422399999e-10,3.4634485475
1.0,0.12571428571428572,0.015804081632653063,0.0019867988338192425,0.0002497689962515619,3.1399530957339214e-05,3.947369606065502e-06,4.96240750476806e-07,6.238455148851275e-08,7.84262932998446e-09,9.859305443409037e-10,4.027055764642857
1.0,0.12714285714285714,0.01616530612244898,0.0020553032069970845,0.00026131712203248644,3.322460551555899e-05,4.224271272692501e-06,5.370859189566179e-07,6.828663826734142e-08,8.682158293990551e-09,1.103874411664513e-09,3.9104298914285716
1.0,0.13857142857142857,0.01920204081632653,0.0026608542274052477,0.00036871837151187,5.1093831480930556e-05,7.080145219500377e-06,9.81105837559338e-07,1.3595323749036539e-07,1.883923433795063e-08,2.61057961540173e-09,3.7784025857142858
