File Name,Length,Width,Label
0001.jpg,450.03,339.02,2
0002.jpg,452.0,337.0,1
0003.jpg,454.47,322.47,1
0004.jpg,461.43,319.31,1
0005.jpg,457.05,333.05,2
0006.jpg,441.71,338.53,1
0007.jpg,452.0,337.0,2
0008.jpg,473.45,309.93,1
0009.jpg,456.65,324.28,0
0010.jpg,440.65,334.54,1
0011.jpg,453.0,338.0,2
0012.jpg,449.04,337.04,0
0013.jpg,436.03,325.74,1
0014.jpg,450.01,338.01,2
0015.jpg,459.95,326.11,0
0016.jpg,451.0,338.0,0
0017.jpg,452.03,335.02,0
0019.jpg,447.7,337.54,0
0020.jpg,453.0,338.0,2
0021.jpg,454.76,325.73,0
0022.jpg,452.0,336.0,1
0023.jpg,453.0,338.0,2
0024.jpg,438.81,329.96,1
0025.jpg,446.23,306.97,1
0026.jpg,465.09,327.47,1
0028.jpg,450.22,330.15,1
0029.jpg,453.0,338.0,2
0030.jpg,453.0,338.0,2
0031.jpg,479.72,286.06,1
0032.jpg,453.0,338.0,2
0033.jpg,458.25,324.19,2
0034.jpg,456.16,333.12,1
0035.jpg,452.0,338.0,2
0036.jpg,460.57,329.39,1
0037.jpg,453.0,338.0,2
0038.jpg,451.0,337.0,0
0039.jpg,453.0,338.0,2
0040.jpg,452.05,336.04,1
0041.jpg,451.25,326.67,1
0042.jpg,406.6,363.3,0
0044.jpg,463.6,310.05,1
0045.jpg,453.04,337.02,1
0046.jpg,484.16,304.8,1
0047.jpg,449.03,339.02,1
0048.jpg,388.88,343.29,1
0050.jpg,453.0,338.0,2
0051.jpg,452.01,338.01,0
0052.jpg,422.45,325.76,1
0053.jpg,454.39,324.14,0
0056.jpg,454.0,336.01,2
0057.jpg,453.0,338.0,2
0059.jpg,453.03,334.02,2
0060.jpg,451.32,331.22,1
0062.jpg,451.05,332.04,2
0065.jpg,455.24,322.26,1
0066.jpg,453.0,338.0,2
0067.jpg,453.09,335.07,2
0068.jpg,452.05,337.04,1
0069.jpg,450.78,324.89,1
0072.jpg,453.03,338.01,2
0074.jpg,453.0,338.0,2
0075.jpg,453.02,335.01,2
0076.jpg,451.0,337.0,2
0077.jpg,457.28,330.22,1
0079.jpg,452.0,338.0,0
0081.jpg,451.32,332.25,1
0087.jpg,442.3,325.21,0
0088.jpg,452.0,338.0,1
0092.jpg,452.0,336.0,1
0095.jpg,453.0,338.0,2
0097.jpg,452.0,338.0,1
0099.jpg,386.39,374.99,1
0102.jpg,452.0,338.0,1
0104.jpg,453.0,337.0,0
0105.jpg,453.16,330.12,2
0109.jpg,453.0,338.0,2
0111.jpg,452.02,336.02,2
0112.jpg,451.07,336.05,0
0113.jpg,453.0,337.0,1
0114.jpg,453.0,337.01,2
0115.jpg,449.05,334.04,1
0116.jpg,435.66,332.42,1
0118.jpg,453.0,338.0,2
0119.jpg,452.05,335.04,2
0121.jpg,453.0,337.0,0
0122.jpg,451.07,337.05,1
0126.jpg,453.01,338.01,2
0129.jpg,463.25,323.82,1
0131.jpg,445.54,338.25,1
0134.jpg,450.75,322.62,1
