,Accuracy,Precision (avg),Recall (avg),F1-score (avg),AUC (avg),Precision_1,Precision_2,Precision_3,Precision_4,Recall_1,Recall_2,Recall_3,Recall_4,F1-score_1,F1-score_2,F1-score_3,F1-score_4,AUC_1,AUC_2,AUC_3,AUC_4
Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVC Linear Kernel,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVC RBF Kernel,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest (min_samples_leaf=1),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest (min_samples_leaf=3),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest (min_samples_leaf=5),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
Neural Network (5),0.9956597222222222,0.9956713809195057,0.9956597222222222,0.9956550088830265,0.9999849082907099,0.9965870307167235,1.0,0.9964664310954063,0.9896907216494846,1.0,1.0,0.986013986013986,0.9965397923875432,0.9982905982905983,1.0,0.9912126537785588,0.993103448275862,1.0,1.0,0.9999676997367528,0.9999719334260867
"Neural Network (5,5)",0.9965277777777778,0.996539562763177,0.9965277777777778,0.9965276727498823,0.9999778496137113,1.0,1.0,0.9964788732394366,0.9896907216494846,1.0,1.0,0.9895104895104895,0.9965397923875432,1.0,1.0,0.9929824561403509,0.993103448275862,1.0,1.0,0.9999434745393175,0.9999679239155277
"Neural Network (5,5,5)",0.9973958333333334,0.9974225884703196,0.9973958333333334,0.9973956915409568,0.9999879294348025,1.0,1.0,1.0,0.9897260273972602,1.0,1.0,0.9895104895104895,1.0,1.0,1.0,0.9947275922671353,0.9948364888123925,1.0,1.0,0.9999757748025646,0.9999759429366457
Neural Network (10),0.9939236111111112,0.9939967423802261,0.9939236111111112,0.993922875829104,0.9999577320050489,1.0,1.0,0.99644128113879,0.9795918367346939,1.0,1.0,0.9790209790209791,0.9965397923875432,1.0,1.0,0.9876543209876544,0.9879931389365352,1.0,1.0,0.9999030992102586,0.9999278288099371
