Gender_F_Flag,Gender_M_Flag,Residence_distance_from_store,time_in_store,accompanying_people,family_size,total_purchase_amount,F1,F2,F3,F4
1,0,1,49,0,4,113,49,2401,0,1
1,0,4,52,3,4,959,52,2704,9,16
1,0,4,51,1,5,1247,51,2601,1,16
0,1,8,38,3,4,2116,0,1444,9,64
1,0,2,52,4,6,1472,52,2704,16,4
1,0,6,53,3,5,1664,53,2809,9,36
1,0,6,52,1,6,1255,52,2704,1,36
1,0,5,53,3,4,1446,53,2809,9,25
0,1,4,38,4,5,1511,0,1444,16,16
0,1,5,38,3,4,1067,0,1444,9,25
0,1,3,37,3,6,1842,0,1369,9,9
1,0,7,53,2,2,2011,53,2809,4,49
1,0,2,52,5,4,1565,52,2704,25,4
0,1,6,38,3,4,1373,0,1444,9,36
1,0,3,51,2,4,898,51,2601,4,9
1,0,8,54,4,3,2218,54,2916,16,64
0,1,5,37,2,3,1403,0,1369,4,25
1,0,3,51,1,3,1060,51,2601,1,9
1,0,7,54,4,5,1949,54,2916,16,49
1,0,8,51,0,6,1535,51,2601,0,64
0,1,4,36,1,4,904,0,1296,1,16
1,0,9,54,4,4,2410,54,2916,16,81
1,0,2,52,5,3,1947,52,2704,25,4
1,0,3,52,4,4,1766,52,2704,16,9
1,0,4,51,1,5,1073,51,2601,1,16
1,0,3,51,1,4,917,51,2601,1,9
1,0,4,53,5,2,1603,53,2809,25,16
0,1,4,38,5,4,1446,0,1444,25,16
0,1,5,37,2,3,995,0,1369,4,25
1,0,1,51,4,5,1066,51,2601,16,1
0,1,4,38,4,5,1876,0,1444,16,16
1,0,7,54,4,4,1678,54,2916,16,49
0,1,2,34,0,3,985,0,1156,0,4
1,0,7,54,4,4,2005,54,2916,16,49
0,1,6,38,3,7,1403,0,1444,9,36
1,0,3,52,3,5,1837,52,2704,9,9
1,0,8,53,2,5,1689,53,2809,4,64
1,0,5,54,6,3,2434,54,2916,36,25
1,0,2,51,3,6,1152,51,2601,9,4
1,0,4,52,3,3,1579,52,2704,9,16
